,House_Price,Beds,Baths,Area,Lot,Street,City,Zip_Code,County,State,Url
0,1499000,5,3,2140,"6,840",6790 Edgewater Ln,Livermore,94551,Alameda Conty,CA,https://www.redfin.com/CA/Livermore/6790-Edgewater-Ln-94551/home/925131
1,375000,1,1,828,N/A,1087 Murrieta Blvd #349,Livermore,94550,Alameda Conty,CA,https://www.redfin.com/CA/Livermore/1087-Murrieta-Blvd-94550/unit-349/home/1749588
2,725000,2,1,1134,"4,500",22738 2nd St,Hayward,94541,Alameda Conty,CA,https://www.redfin.com/CA/Hayward/22738-2nd-St-94541/home/1814848
3,1549000,4,2,1450,"4,500",4474 Macbeth Cir,Fremont,94555,Alameda Conty,CA,https://www.redfin.com/CA/Fremont/4474-Macbeth-Cir-94555/home/2043926
4,1199000,4,2,1561,"7,811",236 Chalmette Rd,Livermore,94551,Alameda Conty,CA,https://www.redfin.com/CA/Livermore/236-Chalmette-Rd-94551/home/1708554
5,1195000,3,2.5,1576,"3,000",6248 Jarvis Ave,Newark,94560,Alameda Conty,CA,https://www.redfin.com/CA/Newark/6248-Jarvis-Ave-94560/home/1552752
6,1799000,3,2,1750,"8,000",37076 2nd,Fremont,94536,Alameda Conty,CA,https://www.redfin.com/CA/Fremont/37076-2nd-St-94536/home/1376949
7,675000,2,1,1116,"2,450",4981 Fairfax Ave,Oakland,94601,Alameda Conty,CA,https://www.redfin.com/CA/Oakland/4981-Fairfax-Ave-94601/home/944339
8,1688000,4,2,1340,"5,400",3680 Yorktown Rd,Fremont,94538,Alameda Conty,CA,https://www.redfin.com/CA/Fremont/3680-Yorktown-Rd-94538/home/1116825
9,1249000,3,2.5,1514,"6,709",5987 Pompei Ter #133,Fremont,94555,Alameda Conty,CA,https://www.redfin.com/CA/Fremont/5987-Pompei-Ter-94555/unit-133/home/1155829
10,998000,3,2.5,1498,N/A,5317 Port Sailwood Dr,Newark,94560,Alameda Conty,CA,https://www.redfin.com/CA/Newark/5317-Port-Sailwood-Dr-94560/home/1470898
11,399000,1,1,581,N/A,988 Franklin St #1010,Oakland,94607,Alameda Conty,CA,https://www.redfin.com/CA/Oakland/988-Franklin-St-94607/unit-1010/home/524739
12,899880,3,2,900,N/A,2 Panoramic Way #301,Berkeley,94704,Alameda Conty,CA,https://www.redfin.com/CA/Berkeley/2-Panoramic-Way-94704/unit-301/home/1843600
13,397000,0,1,565,N/A,6400 Christie Ave #5413,Emeryville,94608,Alameda Conty,CA,https://www.redfin.com/CA/Emeryville/6400-Christie-Ave-94608/unit-5413/home/1459824
14,898000,2,2.5,1294,"5,904",35481 Monterra Cir,Union City,94587,Alameda Conty,CA,https://www.redfin.com/CA/Union-City/35481-Monterra-Cir-94587/home/1442251
15,1095000,3,2,1756,"5,810",1947 Tiffin Rd,Oakland,94602,Alameda Conty,CA,https://www.redfin.com/CA/Oakland/1947-Tiffin-Rd-94602/home/660347
16,1598000,3,2.5,2465,"5,700",3800 Lakeshore Ave,Oakland,94610,Alameda Conty,CA,https://www.redfin.com/CA/Oakland/3800-Lakeshore-Ave-94610/home/1586502
17,999800,3,2,1490,N/A,37629 Shelter Rd,Newark,94560,Alameda Conty,CA,https://www.redfin.com/CA/Newark/37629-Shelter-Rd-94560/home/168814727
18,849900,8,4,5555,"5,555",10926 Bancroft Ave,Oakland,94603,Alameda Conty,CA,https://www.redfin.com/CA/Oakland/10926-Bancroft-Ave-94603/home/572719
19,570000,1,1,840,N/A,3245 Dublin Blvd #431,Dublin,94568,Alameda Conty,CA,https://www.redfin.com/CA/Dublin/3245-Dublin-Blvd-94568/unit-431/home/1236277
20,1868000,5,3.5,2851,"4,185",3753 Edgecomb Ct,Dublin,94568,Alameda Conty,CA,https://www.redfin.com/CA/Dublin/3753-Edgecomb-Ct-94568/home/22677503
21,1089000,3,2.5,1508,N/A,2932 Carmel St,Oakland,94602,Alameda Conty,CA,https://www.redfin.com/CA/Oakland/2932-Carmel-St-94602/home/1964370
22,825000,2,1,1076,"5,383",3016 Revere Ave,Oakland,94605,Alameda Conty,CA,https://www.redfin.com/CA/Oakland/3016-Revere-Ave-94605/home/1946555
23,1649900,4,3,2701,"5,450",29840 Cantera Dr,Hayward,94544,Alameda Conty,CA,https://www.redfin.com/CA/Hayward/29840-Cantera-Dr-94544/home/143116813
24,1490000,5,2.5,2335,"7,350",5295 Bristol Pl,Newark,94560,Alameda Conty,CA,https://www.redfin.com/CA/Newark/5295-Bristol-Pl-94560/home/859759
